TglDN,InvSys,NmNPWP,NoNPWP,AddNPWP,Barcode,NmBrg,Qty,Harga,Disc1,PPN,Total
6/9/2022 10:07,22005403584,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8992694247163,ZWITSAL BB BAR SOAP N RICH HON 144X70G,36,3873.88,2156.3953,15103.3613,152406.646
6/9/2022 10:14,22005403576,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999556754,PONDS GEL CRM MOIST WTRMLN EXT+AO 48X20G,12,19618.02,3640.1236,25495.3728,257271.4892
6/2/2022 10:23,22005403358,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999576615,DOVE ANTI KTMB & RMBT RNTK SH 24X135ML,24,21629.75,8026.8002,56219.592,567306.7918
6/2/2022 10:09,22005403368,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999516208,ROYCO FDS CHICKEN RL 24X230G,144,7657.67,17050.568,119421.9303,1205075.842
6/2/2022 10:09,22005403368,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999008475,SUNLIGHT LIME NEW PCH 6X1500ML,60,41450.5,38455.7014,269343.1728,2717917.471
6/2/2022 10:19,22005403359,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999045098,DOVE DEO WMN RO POWDER SOFT 4X6X40ML,24,17750.46,6587.1957,46136.6229,465560.4672
6/2/2022 10:09,22005403368,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999514617,BANGO MANIS RL 12X400ML,84,16779.25,21793.7289,152642.9598,1540306.231
6/9/2022 10:00,22005403590,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999037765,PEPSODENT WHITE RL 12X3X225G,216,12094.58,40394.6877,282923.8052,2854958.398
6/2/2022 10:24,22005403357,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999552534,ZWITSAL KIDS BB CLN&FRSH BLUE 12X250ML,12,16081.08,2983.8444,20898.8027,210887.9183
6/4/2022 9:46,22005403434,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999526399,TRESEMME KRATIN SM SHP 12X340ML,12,50400,9351.72,65499.3108,660947.5908
